scenario,elapsed_s,n_iters,converged,Q_offer_ch,lam_ch,obj_ch,Q_offer_eu,lam_eu,obj_eu,Q_offer_us,lam_us,obj_us,Q_offer_apac,lam_apac,obj_apac,Q_offer_roa,lam_roa,obj_roa,Q_offer_row,lam_row,obj_row
high_all__default,85.96543599996949,8,True,427.00212635968023,163.0876086010242,45415.722994706426,0.4752000000000003,198.02831545646143,17769.067693792087,0.49680000000000024,194.52767212147384,8675.530215586641,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.12745573016244,5576.595614735865,0.5695920000000003,199.34271750662947,7013.422192339348
high_all__ch_first,85.69738010002766,8,True,427.00212635968023,163.08760860102436,45415.72299470642,0.4752000000000003,198.0283154564616,17769.06769379208,0.49680000000000024,194.527672121474,8675.530215586634,24.870419459393,180.3811674791818,3124.2394643063685,0.0,223.1274557301626,5576.595614735861,0.5695920000000003,199.34271750662964,7013.422192339343
high_all__ch_last,318.7965797999641,29,True,331.34383570836,163.68449549704633,48735.32351982877,0.1414547338864669,299.25,11798.110160204671,0.49680000000000024,295.7463755383001,4802.459414981331,109.99998642539364,281.4850275419257,12231.855702154984,0.0,314.098,3373.302375875921,0.5695920000000003,300.5546580296859,4219.139586490709
high_all__apac_first,91.92604320001556,8,True,427.00212635968023,163.0876086010242,45415.72299470641,0.4752000000000003,198.0283154564614,17769.06769379209,0.49680000000000024,194.52767212147384,8675.530215586641,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.1274557301624,5576.595614735866,0.5695920000000003,199.34271750662944,7013.422192339349
low_non_ch__default,90.4991563000367,8,True,427.00212635968023,163.0876086010242,45415.722994706426,0.0,198.02831545646143,17769.067705082838,0.0,194.52767212147384,8675.530227927153,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.12745573016244,5576.595614735865,0.0,199.34271750662947,7013.4222085611
low_non_ch__ch_first,91.12369709997438,8,True,427.00212635968023,163.08760860102436,45415.72299470642,0.0,198.0283154564616,17769.06770508283,0.0,194.527672121474,8675.530227927145,24.870419459393,180.3811674791818,3124.2394643063685,0.0,223.1274557301626,5576.595614735861,0.0,199.34271750662964,7013.422208561095
low_non_ch__ch_last,90.19376250001369,8,True,426.93260876132956,163.16262761368733,45415.722994706404,0.0,198.10746363636363,17769.067705082838,0.0,194.60714545454545,8675.530227927153,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.21347272727272,5576.595614735865,0.0,199.42248673087815,7013.4222085611
low_non_ch__apac_first,91.22436759999255,8,True,427.00212635968023,163.0876086010242,45415.72299470641,0.0,198.0283154564614,17769.06770508284,0.0,194.52767212147384,8675.530227927153,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.1274557301624,5576.595614735866,0.0,199.34271750662944,7013.422208561101
low_eu_us_row__default,90.87005440000212,8,True,427.00212635968023,163.0876086010242,45415.722994706426,0.0,198.02831545646143,17769.067705082838,0.0,194.52767212147384,8675.530227927153,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.12745573016244,5576.595614735865,0.0,199.34271750662947,7013.4222085611
low_eu_us_row__ch_first,85.69015640002908,8,True,427.00212635968023,163.08760860102436,45415.72299470642,0.0,198.0283154564616,17769.06770508283,0.0,194.527672121474,8675.530227927145,24.870419459393,180.3811674791818,3124.2394643063685,0.0,223.1274557301626,5576.595614735861,0.0,199.34271750662964,7013.422208561095
low_eu_us_row__ch_last,86.25142710004002,8,True,426.93260876132956,163.16262761368733,45415.722994706404,0.0,198.10746363636363,17769.067705082838,0.0,194.60714545454545,8675.530227927153,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.21347272727272,5576.595614735865,0.0,199.42248673087815,7013.4222085611
low_eu_us_row__apac_first,85.94137620000402,8,True,427.00212635968023,163.0876086010242,45415.72299470641,0.0,198.0283154564614,17769.06770508284,0.0,194.52767212147384,8675.530227927153,24.870419459393,180.3811674791818,3124.2394643063712,0.0,223.1274557301624,5576.595614735866,0.0,199.34271750662944,7013.422208561101
mid_all__default,92.61821869999403,8,True,426.9410434496803,163.15352545930324,45415.72299470645,0.9900000000000003,198.09423842303428,17765.178860279706,0.31050000000000016,194.5935950880467,8673.007680790728,24.863202359393,180.3811674791818,3124.2394643063712,0.0,223.19337869673527,5574.998960485471,0.35599500000000034,199.40864047320233,7011.602175253377
mid_all__ch_first,92.21223310002824,8,True,426.94104344968025,163.15352544723368,45415.72299470644,0.9900000000000003,198.09423841096356,17765.178860991757,0.31050000000000016,194.593595075976,8673.007681252615,24.863202359393,180.3811674791818,3124.2394643063712,0.0,223.19337868466457,5574.998960777823,0.35599500000000034,199.40864046113163,7011.6021755866295
mid_all__ch_last,329.06727860000683,28,True,331.3438363552852,163.6844954936647,48735.32356615253,0.31306996491693606,299.25,11798.110158360843,0.31050000000000016,295.7463802811234,4802.459242404739,109.99998642539373,281.48502112480526,12231.856185734918,0.0,314.098,3373.3023759318985,0.35599284093837136,300.5546564938516,4219.139639844033
mid_all__apac_first,92.65324029995827,8,True,426.94104344967684,163.15352545930693,45415.72299470641,0.9900000000000003,198.09423842303835,17765.178860279466,0.31050000000000016,194.59359508805076,8673.007680790573,24.863202359392996,180.3811674791818,3124.2394643063712,0.0,223.19337869673933,5574.998960485373,0.35599500000000034,199.4086404732064,7011.602175253265
low_all__default,128.09698520001257,11,True,324.95382829601976,163.82126774459027,49100.08482763926,0.0,325.93816088093126,10276.185971384439,0.0,321.2411553646354,3826.838789925265,109.99948036880001,304.68920340262554,14778.301677121082,0.0,349.5949245755501,2513.5535193005744,0.6611641934674994,325.83043101095353,3521.300057733354
low_all__ch_first,163.2632511999691,14,True,331.6597526911509,163.76174775905355,50337.16441591668,0.0,325.95158151629704,10275.447125227947,0.0,321.2546724216642,3826.321563512427,109.9999859699576,238.36269802524177,14508.66156591034,0.0,347.2883858757877,2569.4178866088205,0.6611641934674998,325.84485033798467,3520.90196332914
low_all__ch_last,127.95447680004872,11,True,328.35826261817454,163.7539277871815,49172.29135433456,0.0,312.19810716700965,11047.295403220589,0.4347000000000001,305.8099698890938,4417.866277834565,109.99948036880001,291.57452182489624,13397.389827160185,0.0,334.428,2881.1768829647217,0.0,312.0789316597138,3901.2754916331396
low_all__apac_first,222.7992462000111,19,True,308.78540720252784,163.69080414093486,45657.214291943535,21.99898959747675,301.5496947209566,11938.403880784635,0.0,298.49732369261574,4697.131510557407,109.99999972218107,283.622448744047,12474.948193279344,0.0,326.6282293687734,3069.806877208707,0.0,303.0696752742961,4149.687904997829
