omega,eps_comp,eps_x,rho_factor,final_r_strat,stable_count,converged,status,mean_q,max_q,mean_lam,max_lam,elapsed_sec
0.5,0.0001,0.0001,1.0,0.5,0,False,OK,89.91387334976281,427.0543545561001,251.4081083447622,304.7929942072413,94.03834319999442
0.5,0.0001,0.0001,10.0,5.054023588845017,0,False,OK,89.50218312394678,427.0543545728146,209.52994479960986,245.88600251765448,95.95592000003671
0.5,0.0001,0.001,1.0,10.656233052316743,0,False,OK,91.25080363845831,426.82593628819467,251.41233241682787,304.7965374666531,98.14231780002592
0.5,0.0001,0.001,10.0,10.999983215332032,0,False,OK,91.28089285965395,426.8255714451444,251.8068548441696,309.2885075752453,95.8013995999936
0.5,0.001,0.0001,1.0,3.1259552815799805,0,False,OK,91.56575511347398,427.0436870714642,257.7781045820315,314.8815128257824,95.80176430003485
0.5,0.001,0.0001,10.0,999.0,0,False,FAILED,0.0,0.0,0.0,0.0,58.975935800001025
0.5,0.001,0.001,1.0,999.0,0,False,FAILED,0.0,0.0,0.0,0.0,41.15817219996825
0.5,0.001,0.001,10.0,999.0,0,False,FAILED,0.0,0.0,0.0,0.0,58.87121449998813
0.7,0.0001,0.0001,1.0,0.0062864901032566155,0,False,OK,89.50053060119883,405.00290920187547,262.95331053517924,317.345759340922,96.83483329997398
0.7,0.0001,0.0001,10.0,999.0,0,False,FAILED,0.0,0.0,0.0,0.0,41.79700870002853
0.7,0.0001,0.001,1.0,999.0,0,False,FAILED,0.0,0.0,0.0,0.0,29.074803999974392
