run,init,order,converged,stable_count,final_r_strat,elapsed,excel_file,Q_ch,lam_ch,Q_eu,lam_eu,Q_us,lam_us,Q_apac,lam_apac,Q_roa,lam_roa,Q_row,lam_row
run_001_high_all_default,high_all,default,True,3,5.022286821888541e-05,282.6578478999436,run_001_high_all_default.xlsx,308.4804489255513,188.59827716269243,17.681637450260503,299.1972508177881,18.399678548754125,294.50860483779405,109.99999924884168,279.1395596193622,0.0,314.0861068536395,234.39999797045303,298.1947521076139
run_002_high_all_ch_last,high_all,ch_last,True,3,1.9374174793932246e-05,130.93401770002674,run_002_high_all_ch_last.xlsx,744.8000001917094,163.27774248433118,5.278657573699546,198.1096612923122,18.399088557993743,194.60937543722662,87.99991187345242,180.40353771043027,0.0,223.21912120928098,234.39997812284204,199.4255973971666
run_003_high_all_ch_mid,high_all,ch_mid,True,3,2.9994114145226028e-05,130.43428679998033,run_003_high_all_ch_mid.xlsx,744.7999978344739,163.27774242713343,5.278099711675715,198.12257386653314,18.39898727548603,194.62271418659628,87.9999585625571,180.40353822801814,0.0,223.23174648105922,234.39995061759475,199.43765460663215
run_004_high_all_reverse,high_all,reverse,True,3,4.1362948797188644e-05,129.92637150001246,run_004_high_all_reverse.xlsx,744.7999914179396,163.2777422878618,17.59875765311935,198.10976389272616,18.39907573470114,194.61293988346006,87.99988901444905,180.40353774095084,0.0,223.23122639508702,234.3993836563523,199.4383805647443
run_005_low_non_ch_default,low_non_ch,default,True,3,0.00011734153152577097,212.49301029997878,run_005_low_non_ch_default.xlsx,744.7999902434796,163.27774254436014,21.981320405236957,289.40420579931254,2.9292253645926134e-06,285.5260850604394,109.99999644848279,271.26329985713755,0.0,314.099537159668,0.02299054231319226,290.3090307644834
run_006_low_non_ch_ch_last,low_non_ch,ch_last,True,3,0.0021477805382194397,129.93484900007024,run_006_low_non_ch_ch_last.xlsx,744.7999969663822,163.27774226545418,1.9077283806735397e-07,198.10932343785166,0.06824069507452764,194.60878894155374,87.99993636064329,180.4035379654444,0.0,223.21674613836873,0.00022862538999223863,199.42594442078024
run_007_low_non_ch_ch_mid,low_non_ch,ch_mid,True,3,0.0026574532180940985,130.40062410000246,run_007_low_non_ch_ch_mid.xlsx,744.799993403056,163.2777424945274,0.06848429799774801,198.12311256671703,3.750343154007428e-05,194.62288752612707,87.99987146494148,180.40353852330261,0.0,223.23032345307493,0.06985301431031685,199.43824662469126
run_008_low_non_ch_reverse,low_non_ch,reverse,True,3,0.00043867476736696447,130.87900890002493,run_008_low_non_ch_reverse.xlsx,744.7999958507835,163.27774226166986,0.04644601442934941,198.11262639148083,0.00020788111050861223,194.60870537998073,87.99993427847426,180.40353749031166,0.0,223.21759971570467,0.10744930455111416,199.42756406869208
run_009_low_eu_us_row_default,low_eu_us_row,default,True,3,0.00011734153152577097,212.99145470000803,run_009_low_eu_us_row_default.xlsx,744.7999902434796,163.27774254436014,21.981320405236957,289.40420579931254,2.9292253645926134e-06,285.5260850604394,109.99999644848279,271.26329985713755,0.0,314.099537159668,0.02299054231319226,290.3090307644834
run_010_low_eu_us_row_ch_last,low_eu_us_row,ch_last,True,3,0.0021477805382194397,130.54512849997263,run_010_low_eu_us_row_ch_last.xlsx,744.7999969663822,163.27774226545418,1.9077283806735397e-07,198.10932343785166,0.06824069507452764,194.60878894155374,87.99993636064329,180.4035379654444,0.0,223.21674613836873,0.00022862538999223863,199.42594442078024
