run,init,repeat,converged,n_iters,stable_count,final_r_strat,elapsed,Q_ch,lam_ch,Q_eu,lam_eu,Q_us,lam_us,Q_apac,lam_apac,Q_roa,lam_roa,Q_row,lam_row
run_001_high_all_rep1,high_all,1,True,8,3,2.192556954198469e-05,129.34967320004944,744.7999983479084,163.2777423925508,5.279132224483099,198.10947597817736,18.399288092473284,194.6095129559442,87.99997484610357,180.40353686635234,0.0,223.21553485337486,234.39997785816638,199.42450866317685
run_002_high_all_rep2,high_all,2,True,8,3,4.472369747918712e-05,130.05404850002378,744.7999987049345,163.2777422907373,17.599241445071755,198.10815243519673,5.518337799599184,194.60767315414265,87.99995275809209,180.40353906025274,0.0,223.21475826981307,234.39997422260444,199.42315755677504
run_003_high_all_rep3,high_all,3,True,17,3,4.254276287730918e-05,278.49098579993006,744.8000172902687,163.27774218538786,17.59932016185045,289.05728600209966,18.398215178943037,285.52916928831553,109.99951074800785,271.2649081150774,0.0,314.0996744931535,234.3999297836416,290.3134261780279
run_004_high_all_rep4,high_all,4,True,8,3,7.621560889989694e-05,129.5933257000288,744.7999969600249,163.2777422451669,17.599148500995522,198.10858613912353,5.52275945063188,194.60801248365223,87.9999836951248,180.4035392484183,0.0,223.22102861745265,234.3999807980781,199.42338566918667
run_005_low_non_ch_rep1,low_non_ch,1,True,8,3,0.0006260808361465175,129.21021850011311,744.7999792049935,163.27774248873635,2.164890267929532e-06,198.1097124256144,0.006980986739677763,194.60947517643433,87.99995542082011,180.40353757437148,0.0,223.21749405376846,0.15308451275645615,199.42486299329235
run_006_low_non_ch_rep2,low_non_ch,2,True,8,3,4.964697748746525e-05,130.75867679994553,744.7995267643986,163.2777422128385,1.9359174708899094e-06,198.11031836298227,0.002144653291284349,194.60970283644662,88.00029670368315,180.40353636351966,0.0,223.2181623860179,0.09424820160270601,199.42803641887772
run_007_low_non_ch_rep3,low_non_ch,3,True,19,3,1.4498144629620221e-05,314.6306813999545,744.780958139361,163.2777449504715,21.983953158867106,289.55433127330775,-3.349297988069671e-06,285.6176805627819,109.99999991745517,271.35743538057744,0.0,314.16871630145357,4.529292280489319e-06,290.3994915791217
run_008_low_non_ch_rep4,low_non_ch,4,True,8,3,3.758894792984524e-07,129.8801175999688,744.7998863623926,163.2777457398685,3.5750759548746535e-06,197.9907461024686,-5.522960175245216e-06,194.47788257084744,26.400490039906494,180.4035468490243,0.0,222.8420908435564,0.00013790801622402398,199.28213223873058
run_009_low_eu_us_row_rep1,low_eu_us_row,1,True,8,3,0.002572771759535551,130.7679552999325,744.7999856207093,163.27774239239056,0.0589426634153949,198.1124980291795,5.089500728080727e-07,194.61097787786485,87.99991511967505,180.40353796958757,0.0,223.21714555039884,0.08261259256954243,199.4263395138346
run_010_low_eu_us_row_rep2,low_eu_us_row,2,True,11,3,0.00043425522487130797,179.5096176000079,744.8000033441039,163.27774245355155,0.10101538044220587,198.1083750739775,2.936402033017619e-06,194.6075340129327,87.99985826619742,180.40353723326533,0.0,223.2147212774126,0.13801580305454156,199.42329389716534
run_011_low_eu_us_row_rep3,low_eu_us_row,3,True,12,3,4.57721686668057e-05,195.54243069991935,744.7999941200658,163.27774228316522,1.8484037975831662e-06,299.2500195912887,2.1287539080259933e-06,295.37095793278127,109.99835449711591,281.1207369200457,0.0,323.9417508191554,0.021633592213643284,300.15572005920137
run_012_low_eu_us_row_rep4,low_eu_us_row,4,True,11,3,2.869309862281e-05,179.369217999978,744.8000186101431,163.27774229366514,6.798652519875618e-07,299.2484446021505,2.641514830944152e-07,295.3042798577899,109.99986917591258,281.042724309987,0.0,323.87340188804905,1.8978768504823967e-05,300.1012393765913
run_013_mid_all_rep1,mid_all,1,True,8,3,2.6252790312516956e-05,130.55655929993372,465.49992941632155,163.27774219970695,10.999605827818762,198.10906445952043,11.499747157933895,194.60876225751267,55.00006144601416,180.4035365499706,0.0,223.2151617931895,146.4999861496289,199.42367147915374
run_014_mid_all_rep2,mid_all,2,True,8,3,3.980643196080678e-05,130.6123011999298,465.4999191012391,163.27774292977892,10.999657078471886,198.11710359351179,11.49989882937231,194.61218926661059,55.07023449767611,180.40354670421812,0.0,223.22292029220924,146.12604732720393,199.42913252215092
run_015_mid_all_rep3,mid_all,3,True,20,3,2.4372775536434666e-05,330.40076949994545,465.49993139103316,163.27774218710255,11.469213817353715,289.0572640574964,3.4452718488084324,285.52210336352147,109.99997076794708,271.25332406280245,0.0,314.1005324472612,146.50000471189816,290.3024566301023
run_016_mid_all_rep4,mid_all,4,True,14,3,5.080470491594724e-05,230.9431375999702,308.47425016770774,188.5943663759797,11.000212014969682,298.3900285875833,11.497587610780958,294.4408401543091,109.99978564177633,279.2559957072507,0.0,314.08802066647877,146.4999972225146,299.1237092040588
run_017_low_all_rep1,low_all,1,True,18,3,3.144124606209708e-05,297.7741918999236,308.4866318023488,188.57553830532876,5.438435121375336,298.39948485009734,2.9221930314044458,294.58620336017043,109.99999992757897,279.30542652650416,0.0,314.0878924862386,0.018191970321388452,298.3612708958851
run_018_low_all_rep2,low_all,2,True,19,3,0.0007363352693458998,312.2090673999628,308.491906370101,188.56056925557846,7.100859461000242,297.8104192872504,0.09436656304952469,294.64763274100386,109.99991505698087,279.3915078922309,0.0,314.0880356491568,2.08681491544808e-07,298.43782114811927
